Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather
12/21/2012 10:00,1,0,93,32,12.9,99.24,Snow
12/21/2012 11:00,0.9,0,94,30,2,99.01,Snow
12/21/2012 12:00,1.3,0.3,93,41,9.7,98.67,Snow
12/21/2012 13:00,1.8,0.3,90,41,19.3,98.36,Snow
12/21/2012 14:00,2.1,0.4,88,41,19.3,98.16,Rain
12/21/2012 15:00,1.8,0.2,89,33,12.9,98.1,Rain
12/21/2012 16:00,1.4,0.2,92,43,9.7,97.93,Rain
12/21/2012 17:00,1.3,0.2,92,46,12.9,97.76,Rain
12/21/2012 18:00,1.4,0.3,92,46,25,97.56,Rain
12/21/2012 19:00,2.3,1.1,92,37,11.3,97.52,Rain
12/21/2012 20:00,2.4,1.7,95,15,9.7,97.58,Rain
12/21/2012 21:00,1.3,0.4,94,22,9.7,97.64,Rain
12/21/2012 22:00,0.7,0,95,28,3.6,97.75,Snow
12/21/2012 23:00,1.1,0,92,30,9.7,97.79,"Drizzle,Snow,Fog"
12/22/2012 0:00,1.1,-0.1,92,32,9.7,97.81,"Drizzle,Snow,Fog"
12/22/2012 1:00,1.2,0.1,92,30,12.9,97.84,Drizzle
12/22/2012 2:00,1.1,0.1,93,30,8,97.89,"Drizzle,Snow,Fog"
12/22/2012 3:00,1.1,0.1,93,28,9.7,97.93,"Drizzle,Snow,Fog"
12/22/2012 4:00,0.6,-0.6,92,35,11.3,97.98,Snow
12/22/2012 5:00,-0.9,-1.9,93,35,4.8,98.07,Snow
12/22/2012 6:00,-1.6,-3,90,41,4,98.19,Snow
12/22/2012 7:00,-2.2,-3.7,89,35,4.8,98.32,Snow
12/22/2012 8:00,-2.5,-4.5,86,41,4,98.44,Snow
12/22/2012 9:00,-3,-5,86,35,3.2,98.58,Snow
12/22/2012 10:00,-3.6,-5,90,37,1.6,98.7,Snow
12/22/2012 11:00,-4.3,-5.4,92,35,1.2,98.78,Snow
12/22/2012 12:00,-4.5,-5.9,90,33,1.6,98.86,Snow
12/22/2012 13:00,-4.7,-6.9,85,37,4,98.96,Snow
12/22/2012 14:00,-5,-7.6,82,32,4,99.08,"Snow,Blowing Snow"
12/22/2012 15:00,-5.4,-7.1,88,35,1.6,99.24,"Snow,Blowing Snow"
12/22/2012 16:00,-5.9,-7.8,86,41,1.6,99.37,"Snow,Blowing Snow"
12/22/2012 17:00,-5.7,-8.5,81,32,6.4,99.5,Snow
12/22/2012 18:00,-6,-8.7,81,33,4.8,99.62,Snow
12/22/2012 19:00,-6.7,-9.1,83,32,6.4,99.75,Snow
12/22/2012 20:00,-6.9,-10.6,75,32,16.1,99.83,Snow
12/22/2012 21:00,-7.2,-11.6,71,28,16.1,99.96,Snow
12/22/2012 22:00,-7.4,-11.9,70,35,16.1,100,Snow
12/22/2012 23:00,-7.8,-12.6,68,39,19.3,100.12,Cloudy
12/23/2012 0:00,-7.8,-11.6,74,32,19.3,100.19,Snow Showers
12/23/2012 1:00,-7.9,-11.8,74,32,25,100.27,Snow Showers
12/23/2012 2:00,-8.2,-12.5,71,30,25,100.36,Mostly Cloudy
12/23/2012 3:00,-8.2,-12.4,72,30,25,100.4,Cloudy
12/23/2012 4:00,-8.3,-12.7,71,28,25,100.43,Cloudy
12/23/2012 5:00,-8.5,-13.2,69,30,25,100.49,Cloudy
